number,value,datetime_start,datetime_complete,duration,params_atr_col,params_bag_max_features,params_bag_max_samples,params_bag_n_estimators,params_bootstrap,params_logreg_C,params_max_depth,params_max_features,params_max_hold_days,params_min_samples_leaf,params_min_samples_split,params_min_trades_thr,params_n_estimators,params_pnl_scale,params_proba_step,params_ret_band,params_ret_step,params_sl_atr_mult,params_stop_loss_pct,params_take_profit_pct,params_tp_atr_mult,params_weight_pnl,state
0,-0.5173943685265309,2025-12-13 19:41:02.902073,2025-12-13 21:47:27.553513,0 days 02:06:24.651440,atr_7,0.6829873839173288,0.9838490436142296,63,False,6.860945012079664,10,log2,10,29,35,34,149,37.38393267574672,0.012469670923305788,0.012209300069351118,0.0028734414483537396,0.8655646257303451,0.011099134153767001,0.031156857238843934,4.871812682285093,0.593066233698133,COMPLETE
1,-0.520002108317573,2025-12-13 19:41:02.909655,2025-12-13 22:29:41.443314,0 days 02:48:38.533659,atr_21,0.9029108111181471,0.810778384868029,57,False,8.659947130323042,6,sqrt,13,11,33,26,132,66.59589174585155,0.009069947453663286,0.007254028221572548,0.0013377333142848735,1.0589815763424144,0.019797907090448576,0.05934927886367554,4.895790812281941,0.7774948704192606,COMPLETE
2,-0.43269545407151183,2025-12-13 19:41:02.930332,2025-12-13 22:56:50.068709,0 days 03:15:47.138377,atr_21,0.6983432532610414,0.6347742538319273,89,True,1.5348073589840412,3,log2,9,14,20,25,140,38.07514817491047,0.005511702130182687,0.006572428317517895,0.002446898793423707,1.781415690001195,0.011378864352496116,0.05667709362152031,4.058380950145598,0.5285627276336702,COMPLETE
3,-0.36059287425753855,2025-12-13 19:41:02.958019,2025-12-13 22:38:50.268057,0 days 02:57:47.310038,atr_14,0.8774541919576626,0.9166580174324719,74,False,5.811212504827073,3,log2,11,15,48,43,176,64.35156254413906,0.008077574472780543,0.013297425519420486,0.002907922197833971,1.0181367562262724,0.015491601603393537,0.045646077304614965,4.356881414754376,0.5118645586225905,COMPLETE
4,-0.6078082075386724,2025-12-13 19:41:02.976431,2025-12-13 21:30:58.710443,0 days 01:49:55.734012,atr_21,0.6503535947581709,0.7330415601386682,130,False,1.4181842134657667,7,sqrt,9,14,35,43,93,36.706019797526366,0.014994292949103778,0.011314437979886467,0.002963945398879037,0.9480836342463368,0.026519625480554455,0.057794357869799855,2.0232494992314556,0.6587332166757385,COMPLETE
5,-0.5686393133623309,2025-12-13 19:41:02.995453,2025-12-13 22:12:41.592976,0 days 02:31:38.597523,atr_14,0.5173028152209718,0.8214249188738941,114,False,4.449747256832863,6,sqrt,8,26,21,29,120,31.967201850612373,0.009615034554899092,0.004891630081840402,0.002311411262895407,1.7891145374455388,0.020187692738731576,0.04305002221899304,4.688644017857362,0.6434327804407703,COMPLETE
6,-0.5095846450774573,2025-12-13 19:41:03.011445,2025-12-13 22:37:13.280666,0 days 02:56:10.269221,atr_14,0.7100020480407734,0.9154630138870548,147,True,7.130864908048187,7,sqrt,14,21,35,23,137,53.59731221711137,0.008335641717488818,0.007794218808894842,0.0011393445862857897,0.8382333053839108,0.024886459087789817,0.048862688571131144,4.0926599186291135,0.7443192940363321,COMPLETE
7,-0.3673479007251432,2025-12-13 19:41:03.027125,2025-12-13 22:48:36.786129,0 days 03:07:33.759004,atr_14,0.9645558834238874,0.6699473664761371,72,False,2.986505556287747,8,log2,13,7,21,49,113,46.69897476611344,0.00684941673630824,0.008231668566415742,0.0020913102837379818,1.2662187158645193,0.029244019560133457,0.03321420339423256,3.0954962540885766,0.4592783144108393,COMPLETE
8,-0.4211996115193971,2025-12-13 19:41:03.059138,2025-12-13 21:35:06.414108,0 days 01:54:03.354970,atr_7,0.5085868792208093,0.7523631213616129,106,False,4.352493271622365,7,sqrt,9,28,38,26,86,43.15118636317917,0.013690349181891145,0.00810587253970178,0.0029761238428665637,1.2367402791264055,0.02217788272254973,0.037368281548210994,3.601112621579845,0.5207873563602499,COMPLETE
9,-0.5532774924477009,2025-12-13 19:41:03.117908,2025-12-13 22:55:01.359306,0 days 03:13:58.241398,atr_21,0.8789825485214993,0.6843788565448585,39,False,8.714356982979018,7,log2,11,20,46,29,51,46.74900076569597,0.005131922900361945,0.011711554305640144,0.0011107147787453098,1.2519281531178859,0.020428534166601738,0.03454924428575778,4.0909056448669485,0.6777204851518415,COMPLETE
10,-0.4120045416111253,2025-12-13 19:41:03.182027,2025-12-13 21:51:39.586969,0 days 02:10:36.404942,atr_14,0.6714158197504332,0.7194016246417223,120,False,2.1043275259275807,9,log2,6,30,30,41,90,70.80783239594649,0.014439725007803002,0.00784342365783013,0.0020368041749972404,1.8456662077422585,0.023465534401516587,0.03867201861372913,3.007574628785804,0.5924434135928978,COMPLETE
11,-0.3155425542089129,2025-12-13 19:41:03.230286,2025-12-13 21:53:00.120632,0 days 02:11:56.890346,atr_14,0.6749594882498053,0.7658513349234937,54,False,0.23863659706000476,5,sqrt,10,8,49,38,95,66.32227604763372,0.011412166126270253,0.007300861420728668,0.0023585429174331936,1.2465622852770772,0.020256131308356157,0.05517594892178951,4.750332339566207,0.47625279421541844,COMPLETE
12,-0.15529212679091514,2025-12-14 00:47:55.765676,2025-12-14 01:58:17.599914,0 days 01:10:21.834238,atr_14,0.8037501405451712,0.531097680526762,39,True,6.046915968552127,3,sqrt,11,8,62,5,179,79.92111860790774,0.01996340614506144,0.014555464750286004,0.0025791385734048504,1.5296900197613947,0.015603597359139333,0.05051738087252917,4.374302279355339,0.40338668262252575,COMPLETE
13,-0.1264045986358496,2025-12-14 00:47:55.769303,2025-12-14 02:03:16.130539,0 days 01:15:20.361236,atr_14,0.7981776941533687,0.8919175885642538,33,True,5.7270791720181675,3,log2,11,6,64,8,176,79.91593571788191,0.01874159179182413,0.01432506125224904,0.0025926712695464186,1.4026126797355873,0.016073506979623387,0.050744439203869056,4.400924101673393,0.4274047586962456,COMPLETE
14,-0.17161529578124757,2025-12-14 00:47:55.806565,2025-12-14 01:58:33.131171,0 days 01:10:37.324606,atr_14,0.8001685433734735,0.512723307560628,42,True,0.02030991089044676,3,log2,11,5,65,5,173,78.39046450267541,0.01996097640371146,0.014383810085101163,0.0025926771391840257,1.388109224966187,0.015723057134453985,0.050879127948239754,4.430861699279668,0.4018592037692602,COMPLETE
15,-0.115260290926989,2025-12-14 00:47:55.817159,2025-12-14 02:03:50.007872,0 days 01:15:54.190713,atr_14,0.8069817228767742,0.5514876333743428,35,True,5.94413555889982,3,log2,11,5,64,6,178,79.8428473376968,0.01874523215010869,0.0143081003118464,0.002552982153123805,1.5261136730064402,0.015769579919594066,0.05055993661203071,4.408700670522987,0.41255070390587223,COMPLETE
